caller,callee,dot_file_name,unique_package_count
BeaconsInSpace,Altbeacon,bluetooth_basic,1
Gimbal,Colocater,access_wifi_state,4
Gimbal,Colocater,bluetooth_basic,4
Gimbal,Colocater,access_coarse_location,4
Gimbal,Colocater,access_fine_location,4
MOCA,Altbeacon,bluetooth_admin,1
MOCA,Altbeacon,bluetooth_basic,1
SalesforceMarketingCloud,Altbeacon,bluetooth_admin,15
SalesforceMarketingCloud,Altbeacon,bluetooth_basic,15
Singlespot,Altbeacon,bluetooth_admin,1
Singlespot,Altbeacon,bluetooth_basic,1
XMode,Altbeacon,bluetooth_basic,1
bazaarvoice,Gimbal,access_wifi_state,1
bazaarvoice,Gimbal,bluetooth_basic,1
bazaarvoice,Gimbal,access_coarse_location,1
bazaarvoice,Gimbal,access_fine_location,1
mParticle,Radar,bluetooth_admin,5
mParticle,Radar,bluetooth_basic,5
roximity,Altbeacon,bluetooth_admin,1
roximity,Altbeacon,bluetooth_basic,1
roximity,Gimbal,access_wifi_state,5
roximity,Gimbal,bluetooth_basic,5
roximity,Gimbal,access_coarse_location,5
roximity,Gimbal,access_fine_location,5
ubudu,Altbeacon,bluetooth_admin,1
ubudu,Altbeacon,bluetooth_basic,1
yinzcam,Gimbal,bluetooth_basic,1
yinzcam,Gimbal,access_coarse_location,1
yinzcam,Gimbal,access_fine_location,1
BeaconsInSpace,Altbeacon,bluetooth_connect,1
Colocater,Altbeacon,bluetooth_advertise,30
MOCA,Altbeacon,bluetooth_scan,1
RadiusNetworks,Altbeacon,bluetooth_advertise,150
SalesforceMarketingCloud,Altbeacon,bluetooth_scan,15
Singlespot,Altbeacon,bluetooth_scan,1
XMode,Altbeacon,bluetooth_connect,1
mParticle,Radar,bluetooth_scan,5
roximity,Altbeacon,bluetooth_scan,1
ubudu,Altbeacon,bluetooth_connect,1
ubudu,Altbeacon,bluetooth_scan,1
Colocater,Gimbal,read_location,4
Gimbal,Colocater,nearby_wifi_devices,4
Gimbal,Colocater,read_location,4
Proximiio,indooratlas,read_location,2
Singlespot,roximity,access_coarse_location,4
bazaarvoice,Gimbal,nearby_wifi_devices,1
bazaarvoice,Gimbal,read_location,1
mParticle,Radar,read_location,8
roximity,Gimbal,nearby_wifi_devices,5
roximity,Gimbal,read_location,5
yinzcam,Gimbal,read_location,1
